GET       /                                                                                                   text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8                                                                                                                              NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          __ysuid=14618508015388dc; juid=01ajnvue2u2j5f; cna=16GoDw9lAQoCAXOcxM68iqVq; __ali=1464315327367866; __aliCount=1; __tft=1464677511767; ysestep=1; yseidcount=2; ystep=2                                                                                                                                    NULL                                              www.youku.com                                     https://www.baidu.com/                                                                              Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /youku/dist/css/find/g_46.css                                                                       text/css,*/*;q=0.1                                                                                                                                                                                      NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              css.ykimg.com                                     http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /youku/dist/css/find/main_14.css                                                                    text/css,*/*;q=0.1                                                                                                                                                                                      NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              css.ykimg.com                                     http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /youku/dist/img/find/yk-logo-0412.png                                                               image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          __ysuid=14618508015388dc; juid=01ajnvue2u2j5f; cna=16GoDw9lAQoCAXOcxM68iqVq; __ali=1464315327367866; __aliCount=1; __tft=1464677511767; ysestep=1; yseidcount=2; ystep=2                                                                                                                                    NULL                                              static.youku.com                                  http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /v1.0.1098/index/img/sprite.gif                                                                     image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          __ysuid=14618508015388dc; juid=01ajnvue2u2j5f; cna=16GoDw9lAQoCAXOcxM68iqVq; __ali=1464315327367866; __aliCount=1; __tft=1464677511767; ysestep=1; yseidcount=2; ystep=2                                                                                                                                    NULL                                              static.youku.com                                  http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /05100000570632BE67BC3D391C057059                                                                   image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              r3.ykimg.com                                      http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /0510000057354EB567BC3D7D0F03DF23                                                                   image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              r3.ykimg.com                                      http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /051000005714498C67BC3D31EC014C64                                                                   image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              r1.ykimg.com                                      http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /0510000057342DFE67BC3D2E590C7E43                                                                   image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              r4.ykimg.com                                      http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /051000005714C74B67BC3D284E01375B                                                                   image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              r4.ykimg.com                                      http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
GET       /051000005710EA4967BC3D3F360C464F                                                                   image/webp,image/*,*/*;q=0.8                                                                                                                                                                            NULL                                              gzip, deflate, sdch                               zh-CN,zh;q=0.8                                    NULL                                              keep-alive          NULL                                                                                                                                                                                                                                                                                                        NULL                                              r2.ykimg.com                                      http://www.youku.com/                                                                               Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36                                                                                           
